squareMeters,numberOfRooms,floors,numPrevOwners,made,hasGuestRoom,price
63875,53,14,3,1999,6,6394774.9
25052,88,94,6,2020,10,2515214
51457,64,32,10,2016,4,5150600.6
84396,64,96,7,2015,2,8449333.5
64920,98,63,8,2016,6,6501809.6
9166,4,16,1,2015,8,922847.5
85558,48,83,9,2017,0,8568781.7
87267,75,81,10,2019,4,8731940.9
96091,100,24,3,1999,6,9615021.9
38003,98,6,10,2008,2,3803545.8
83120,97,68,6,2015,1,8318749.5
20468,100,34,4,2003,0,2049846.3
75152,91,37,3,2018,2,7518709.8
32688,9,18,5,2013,7,3274057.3
45868,72,69,7,1994,10,4600708.4
73900,69,36,3,2018,4,7394635.8
16000,41,25,4,2007,6,1606948.7
1423,59,30,4,1993,8,149234.3
29951,37,13,8,1995,0,3002371.5
40231,84,41,5,1999,0,4030226.9
59517,38,69,8,2003,6,5958698.3
98969,26,69,8,2003,5,9902968.3
99177,49,41,10,2021,3,9919217.1
89157,46,42,6,2009,4,8920282.9
67429,60,24,7,1991,1,6749654.1
38431,57,60,3,2020,8,3848467
72495,76,59,10,1994,0,7259025.4
85362,77,19,5,1997,4,8541211.7
28597,93,47,9,1990,8,2863386
13687,36,93,5,2001,5,1376329.1
50479,3,73,9,2020,5,5057657
98121,38,57,4,1995,2,9817494.5
57736,16,21,6,1999,2,5775940.9
30356,40,85,1,1992,8,3039209.2
21141,38,80,3,1998,10,2126023.8
98122,34,7,4,2009,5,9813433.9
34746,12,15,5,2000,4,3478332
17297,43,19,5,2012,2,1738971.2
80324,47,7,2,1993,9,8039714.3
15815,13,2,1,2019,4,1585031.9
1066,5,46,9,2017,5,114605.7
79275,95,67,9,1995,3,7930383.5
20658,7,48,10,1997,10,2076936.7
8687,88,64,6,1993,3,877525.3
69638,42,63,2,1991,6,6977654.1
94036,18,19,9,2001,10,9406163.1
60889,72,87,8,2018,7,6091341.8
11680,21,14,1,1992,6,1169431.2
11458,96,31,5,2010,6,1154040
20397,67,79,7,1997,3,2042985.7
83206,34,51,9,1999,9,8326302.9
8951,11,63,10,1997,1,904889.7
22854,41,89,7,2001,0,2292467.1
46042,52,74,8,2015,5,4605791.5
93506,20,28,9,2017,8,9356982.7
58748,76,40,5,2010,2,5875981
715,71,23,3,2010,8,74252
55327,22,59,2,1993,8,5540589.3
63631,84,12,10,2000,4,6369055
77915,99,21,10,2018,4,7793915.8
91804,5,81,9,1999,8,9182083.9
57295,95,69,2,1994,7,5731510.4
61057,65,77,8,1998,6,6114671.8
91626,83,55,5,1991,8,9169068.1
29356,96,46,9,1990,3,2948071
27134,62,2,7,2003,3,2715604.3
1682,65,79,3,2017,4,174918.7
98868,41,67,3,2021,3,9892300.1
23898,62,93,9,1996,1,2399286.6
83110,43,75,10,2001,7,8321631.1
71154,67,53,6,2021,8,7122699.1
90841,48,15,5,2003,9,9086177.3
68416,87,48,7,2010,6,6846709
47585,95,5,1,1993,0,4759724.3
28452,79,40,10,2006,2,2850377.6
15630,78,4,3,1996,0,1565985.6
65900,36,99,5,2017,1,6605894.7
21600,94,56,8,2000,3,2166421
74704,31,22,9,1992,9,7472587.2
87291,78,42,3,2017,2,8739254.7
96687,65,81,4,2012,6,9673884.2
60567,65,100,6,2019,0,6071330.9
4872,41,74,6,1990,6,489455
9157,48,53,10,2009,8,922102.9
65217,26,39,8,2019,10,6531999.9
87346,56,82,9,1990,4,8743241
47701,26,46,5,2001,3,4773352.1
14766,50,79,1,2001,4,1488265.1
94841,19,75,5,1998,6,9498026.8
59318,92,91,8,2002,5,5939275.2
1796,28,4,1,1997,4,180265.7
96526,36,34,2,2020,0,9661068
62876,36,9,8,2006,4,6288117.6
59558,43,89,3,2012,5,5967916.2
97008,89,4,5,2014,0,9703551.4
66746,6,10,3,1997,3,6678869.7
25776,36,93,9,2002,10,2582235.2
96195,97,64,4,2018,3,9626665.8
4805,47,99,5,1995,0,486824.5
23045,21,75,5,1990,0,2312202
95441,70,65,10,2017,3,9554998.7
28381,34,64,2,2009,2,2847241.9
15731,34,37,2,2003,5,1582940.3
18966,58,25,4,2019,0,1902151.9
24393,46,16,8,2019,2,2449464.9
53339,67,11,1,2013,3,5335546.3
44053,17,55,3,2004,3,4413295.4
70898,98,92,1,1994,3,7091863.4
84483,41,85,3,2019,6,8452134.9
35716,24,52,2,2013,10,3574932.3
64693,64,81,9,2013,7,6471378.3
32593,40,94,9,2006,2,3265750.6
1607,63,52,8,2020,7,173112
39484,74,30,4,1991,9,3954971.1
32458,28,20,3,2015,7,3253846.5
72243,64,23,1,2004,3,7229477.4
20624,44,83,2,1996,4,2070369.6
7443,38,41,8,2005,1,748338.5
78382,41,14,1,2020,6,7840062
70614,15,100,5,2010,2,7075926
32235,59,10,6,2016,10,3225143.6
2523,12,67,10,2015,1,260710.5
87864,55,77,4,2019,9,8790481.9
18316,97,3,5,1991,9,1832673.1
94471,30,79,1,2011,3,9454072.1
60704,96,29,10,2004,2,6080655.4
54020,4,64,3,2013,4,5406334.3
59612,37,56,7,2017,2,5967739.7
56467,63,41,2,1990,0,5649094
65625,55,36,10,2015,10,6567597.5
41570,76,98,4,2014,10,4167932.4
44862,99,68,5,1992,3,4493882.2
47212,37,81,4,2001,9,4734236.1
2840,17,26,4,2004,10,288797.4
40465,85,100,9,2004,0,4052600.4
17191,80,29,5,1995,9,1728829.5
56480,85,80,3,2016,1,5653048.6
70503,78,29,6,2021,4,7051701.1
4885,100,54,8,1993,6,493693.3
58263,65,57,10,2006,3,5840294.6
47647,52,6,2,2002,10,4768169.2
57916,51,24,1,1998,1,5792783.8
6396,71,40,6,2005,9,643620.5
41972,18,49,7,1995,0,4206464.5
94311,11,47,1,2007,7,9439790.7
10714,41,98,6,1996,6,1075982.6
11259,26,82,4,2010,7,1134964
3534,16,13,1,2003,0,359850.3
52680,10,79,4,1991,0,5274696.1
62711,60,29,10,2007,6,6272944.7
19268,12,77,5,2010,3,1938014
36119,39,46,4,2019,3,3620813.9
28394,53,7,8,2003,2,2840816.3
20392,33,84,5,2007,2,2046763.7
7259,25,39,4,2014,5,735079.4
28183,81,52,2,1993,10,2821593.3
92188,14,95,2,1996,0,9227140.6
29815,28,77,7,1995,0,2989048.5
50219,96,54,6,2003,0,5025975.3
1722,56,84,8,2002,2,182838.2
70399,14,85,5,2013,4,7048784.3
28790,52,15,6,2021,4,2883447.1
92962,7,37,1,2000,3,9304587
34245,2,85,4,2010,5,3430728
54677,64,94,10,1996,2,5477618.6
74227,84,5,7,2000,5,7427853
94939,46,48,10,2009,7,9503765.9
48884,58,32,7,2010,9,4895277
10638,39,33,4,2016,10,1066200.6
90315,61,91,7,1994,7,9044477.4
17633,28,83,2,2013,2,1767487.3
63242,45,18,10,2017,1,6327623.7
79344,46,42,3,1991,7,7945562.1
72093,48,92,1,2005,9,7223902.5
13378,59,9,1,2001,7,1342476.1
47019,35,9,4,2020,6,4706162
34666,75,14,2,2002,6,3477313.2
93509,28,62,2,1992,6,9361261.2
13583,42,32,2,2015,10,1364589.5
19649,11,83,4,1999,2,1970018.9
141,16,58,4,1997,4,22670.7
22821,64,14,8,1993,2,2289134.3
533,76,55,8,2021,9,65465.1
67020,71,38,7,2015,1,6711051.5
49094,30,49,2,2021,8,4916616.1
25269,88,92,7,2019,1,2530193.9
71989,41,77,3,2003,4,7204744.3
73180,1,54,7,2011,10,7325717.1
18926,58,84,4,1998,8,1908217.8
6492,76,88,3,2018,9,652565.8
98045,4,8,5,2002,0,9814193.2
51589,83,43,10,1998,5,5167451.8
24390,75,44,9,1992,1,2446317.2
75890,10,59,5,2001,8,7597786.1
29220,9,59,6,1994,0,2929116.4
72433,57,18,7,2001,0,7250644.1
57467,98,64,3,1993,2,5749361.3
81482,76,9,7,1997,6,8153070.7
61346,69,52,10,2009,10,6141452.9
80915,23,67,6,1992,0,8104297.2
65479,74,35,5,2000,10,6552454
48302,22,13,9,2017,1,4833604.7
76690,21,99,1,1990,8,7682267
14447,39,23,8,2002,6,1448447.2
24213,31,93,7,1994,5,2431969.4
1843,30,3,7,2007,5,189919.7
78183,65,86,9,2007,4,7829898.7
99323,35,28,7,2018,3,9939399.8
67491,21,57,7,2007,0,6750826.7
2588,82,69,5,2016,8,267798.6
76635,6,1,5,1999,1,7669791.9
45070,100,92,9,1997,0,4510977.7
62381,58,44,4,2003,6,6243323.3
98543,2,44,3,1992,7,9860222.2
13972,39,8,2,2009,2,1397748.9
71567,70,94,8,1992,4,7166917.2
36804,99,12,8,1996,6,3681839.6
21297,71,14,3,1995,4,2136801.5
9950,1,69,10,2012,4,1000736.2
3661,50,24,8,2007,7,372556.7
88102,51,70,3,2016,9,8821018.6
72596,91,90,6,2015,0,7262781.5
70763,4,38,4,2015,9,7082373.5
12002,58,41,8,1995,1,1203664.5
26146,34,98,9,2011,7,2627462.1
13716,62,98,8,1990,10,1382883
23281,32,52,10,2020,3,2339782
3824,45,9,6,2019,0,386574.9
56086,3,46,2,2021,1,5615576.1
19014,67,89,2,1999,6,1912984.9
80808,59,1,5,2004,5,8085990.4
83602,5,2,7,1991,5,8365162.1
99767,27,79,8,2018,2,9985836.8
60675,32,51,7,2002,6,6075733.2
20210,2,78,8,2007,4,2029228.7
28694,82,20,3,1991,3,2870499.1
45521,53,32,9,1991,7,4554205.1
55727,46,77,5,2016,2,5574845.6
17307,20,66,8,2006,2,1740869.6
86474,98,33,6,2004,7,8649993.4
6012,53,38,7,2013,4,607323.3
6617,51,38,4,2010,10,663333
34061,43,90,1,1993,9,3407529.3
12881,12,68,5,2006,0,1293712.6
48458,82,72,6,2002,6,4851198.2
89618,49,36,6,2006,0,8969519.6
10369,30,68,10,1999,10,1044857.9
21865,24,79,5,1993,3,2191960.3
30817,48,63,3,2013,3,3086005.3
8808,85,37,10,1998,5,888730.8
16006,69,26,10,1990,3,1610901
70517,37,1,6,2002,5,7052408.2
55592,68,10,6,2021,0,5564877.1
10978,17,55,9,2015,6,1103882.5
94388,7,81,8,1996,8,9446167.6
18041,90,99,8,2006,3,1817658.6
18220,91,97,4,2013,2,1833031.3
39342,7,84,7,1994,2,3946165.4
66570,59,2,10,2008,6,6657976.8
34592,100,33,7,1994,5,3465076.4
38700,25,26,7,1996,8,3880396.6
32060,25,97,9,2017,8,3211741.7
8305,86,83,9,2001,4,838488.1
40080,50,82,8,2018,0,4011225.8
89335,66,54,2,2004,8,8938823.4
78546,92,84,6,1991,4,7864949.1
50066,63,67,5,1998,1,5015729.8
37008,61,75,3,2013,7,3708694.3
32876,98,32,9,2008,8,3299047.8
98266,14,42,10,1990,9,9838529
53665,66,81,3,2002,8,5379979.2
33469,98,91,7,2016,8,3362757.6
42578,49,23,8,2013,6,4264812.3
64329,25,44,5,2019,5,6436473.9
29512,96,26,8,2012,9,2955396.2
241,78,50,6,2013,7,29643.3
32709,47,80,3,2006,5,3284181.6
29271,70,98,3,2021,6,2938810.1
15542,19,27,7,1996,5,1556824.6
94951,52,80,4,2014,3,9498811.4
12296,54,45,10,2008,0,1233872.8
42390,17,96,1,2001,0,4245306.1
2157,22,93,4,2021,9,222104.1
70576,66,7,7,2013,9,7061024.3
22232,24,52,9,2005,8,2230267.5
31368,78,86,5,2007,0,3142605.7
2713,76,19,5,2000,1,273858
40939,60,6,7,2017,8,4097363.7
84892,59,46,10,2007,3,8492982.7
43332,60,24,5,2002,4,4336691.2
39445,100,66,5,1990,10,3947777
82032,78,64,10,2004,8,8209534.4
813,45,15,2,1998,7,84647.8
43432,44,34,4,2010,6,4347238
80988,34,57,10,2015,10,8104253.5
99444,68,60,4,2021,5,9947284.1
37618,57,45,3,2008,9,3766350.8
63973,18,78,10,2002,10,6405935.2
99107,54,65,4,2018,3,9916550.8
71519,12,80,8,2012,2,7156303.2
91841,77,14,2,2011,0,9185367.1
28467,98,70,6,2019,10,2855561.9
77075,52,11,10,2002,4,7713855.2
91776,26,72,1,2001,4,9184100.1
69948,45,59,3,2017,3,7006951.7
68593,3,65,3,2021,7,6867934.1
56774,50,23,4,1995,3,5682955.5
84577,63,64,7,1991,0,8467175.1
78835,77,84,6,2002,1,7887862.2
59073,82,38,5,2003,2,5909662.3
6704,83,59,10,2012,1,682123.2
20968,48,6,6,1992,6,2100783.2
64244,20,82,9,2021,6,6435074.1
54133,1,89,3,1993,2,5426671.3
90842,60,25,6,1995,5,9092168.5
51780,83,88,8,2021,4,5184160.1
38722,91,22,5,2008,2,3876450.8
51127,85,66,2,1996,5,5119947.6
31802,100,80,3,1990,10,3184469
26770,8,69,8,2016,2,2687139.6
63839,58,2,6,2019,6,6389327.9
56181,76,98,4,1996,7,5630006.6
91757,82,78,4,2012,6,9182239.2
54200,51,43,5,2010,3,5423195
29788,61,68,3,2011,1,2983377.1
29180,7,1,8,1999,10,2923248.9
30630,62,65,5,1996,4,3072463.6
81114,23,89,2,2007,9,8118084.7
96016,48,35,4,1998,1,9605401.8
8977,53,62,3,2014,5,905963.4
92508,60,88,7,2006,4,9257332.6
38804,18,45,2,2000,1,3885083
34830,92,85,4,2003,2,3488181.3
48540,42,27,5,2016,4,4856286.6
25680,51,11,8,2009,2,2573981.9
73224,66,74,3,2021,3,7330502.1
29589,45,76,1,2006,1,2973362.6
96469,21,13,9,1994,8,9651382.4
35039,19,22,2,1994,3,3511457.4
99592,47,61,5,1997,3,9963329.7
70433,41,1,8,2018,4,7045037.8
73644,18,7,4,1998,4,7365392.8
77211,47,84,9,2006,4,7725844.6
36429,8,29,7,2019,0,3651244.9
90334,44,6,1,1990,4,9037622
51993,59,33,10,2013,6,5208507.3
44476,27,13,10,2013,2,4450503.3
31661,52,18,5,2020,8,3168722
68275,93,54,6,2020,6,6833270
85429,60,57,6,2016,8,8553293.6
90162,71,27,4,1992,1,9023922.2
81619,82,70,5,2014,10,8173020.4
65324,7,8,6,2009,7,6538401.9
4368,85,29,8,2021,6,443641.1
24525,35,73,8,2009,6,2461959.9
20949,5,22,8,2013,10,2102983.3
23609,14,68,8,2017,3,2364571.7
68084,35,8,3,2009,9,6809686.9
73406,72,75,6,2007,2,7351988.7
50638,65,54,5,2016,6,5068736.6
5457,32,12,6,1992,2,547357.2
73337,30,5,3,2005,5,7337758.5
95339,87,15,4,2003,3,9535650.3
63237,8,49,9,2009,5,6330589.9
30831,27,13,10,1998,8,3084723.8
57897,21,96,3,1993,6,5801637.3
87418,73,7,1,1995,10,8743030.5
20640,17,91,9,2015,0,2073310.5
35634,77,50,4,1998,1,3568972.8
87156,49,44,2,2019,9,8722474.9
80556,1,54,6,1991,7,8062244.1
70942,36,28,9,2019,3,7102693.9
38688,76,80,7,2012,2,3877141.2
83937,30,85,8,2012,1,8396191.2
92655,54,77,4,1996,4,9267281.6
35110,28,84,8,1995,0,3526172.5
61208,51,39,6,2021,10,6126371.1
47781,49,37,8,1993,4,4779776.3
23737,25,11,6,2003,0,2380599.3
83460,34,69,5,2017,10,8347291.7
55736,64,47,5,2017,2,5582770.7
15429,27,46,5,1991,0,1550188.1
74290,38,8,6,2006,10,7433059.6
85256,68,45,1,2019,0,8530096.9
9380,11,97,4,2013,1,945451.3
13414,59,16,6,2014,5,1350225.4
91716,7,97,5,2006,4,9184104.6
95828,54,62,10,1994,4,9589468.4
98478,7,19,7,2007,2,9852730.7
70874,99,51,7,2011,2,7097321.1
78217,78,73,1,2003,2,7828401.3
81101,65,87,4,2017,4,8118370.7
46883,49,53,2,2009,3,4691844.9
69319,38,89,1,2019,8,6936067.9
95288,45,80,1,2010,2,9543817
50589,75,52,3,2008,9,5061508.8
65155,69,46,4,1994,3,6521547.4
6049,99,37,7,2000,8,608869
25386,30,35,10,2001,8,2543209.1
1270,53,66,8,1991,6,131117.1
88561,37,49,4,1994,1,8860454.4
71676,13,49,7,2009,6,7178514.9
82016,15,93,4,2014,9,8211272.4
21698,75,59,1,2001,2,2179801.1
476,14,52,4,2019,6,57103.9
16114,98,25,2,2020,1,1620468
55707,7,33,7,2014,3,5573001.4
53633,48,43,3,2010,6,5370339
29578,2,5,4,2003,9,2959100.3
51757,95,23,6,2009,6,5178222.9
80386,41,4,10,1994,3,8045146.4
60136,32,54,3,1995,4,6020434.5
15850,99,96,3,2010,1,1596900
29362,2,44,1,2000,9,2940727
60366,51,26,9,2005,2,6042370.5
9167,32,69,3,1994,7,923577.4
18586,93,16,5,1997,8,1862622.7
69443,27,30,7,1993,1,6947198.3
21015,37,97,6,1993,9,2107213.3
79337,83,70,9,2016,5,7940161.6
84947,54,68,7,2014,1,8498951.4
99665,16,52,9,1990,9,9976093
25493,31,97,4,2017,3,2555724.7
50580,57,76,4,2008,1,5072667.8
71040,40,49,3,2015,6,7110801.5
63320,3,3,2,1993,8,6338701.3
50465,68,62,6,1994,3,5051447.4
65919,40,82,4,2013,1,6596228.3
76489,43,27,7,1992,8,7655928.2
50093,89,5,1,2009,10,5013597.9
50118,80,76,1,1998,0,5016630.8
25309,28,53,6,2012,9,2535294.2
98191,17,77,5,2020,4,9828436
1607,10,46,6,2004,9,167249.4
4410,37,37,5,2004,7,444238.4
2374,41,85,3,2018,5,249562.8
94990,23,47,2,2018,9,9504433.8
18281,9,76,3,2016,4,1840231.6
64879,80,12,4,2021,1,6491104.1
54812,88,27,7,1990,7,5482093
605,29,66,2,2005,2,71250.5
27253,19,81,5,2010,1,2736783
17357,42,20,5,1998,4,1738079.8
54097,26,98,9,2016,5,5416865.6
95281,22,8,10,1990,1,9533000
69440,90,76,9,2004,2,6950509.4
44395,1,1,5,2012,3,4443692.2
48270,60,85,10,2010,6,4838349
30572,24,56,9,2008,2,3058110.8
63719,35,25,1,1992,0,6375632.2
45827,61,60,7,2006,6,4590725.6
70488,61,35,7,2020,10,7054483
79822,67,30,5,2003,2,7987847.3
27171,63,93,7,1997,9,2724534.7
58330,58,2,7,1992,10,5837640.2
87826,10,45,8,1997,2,8790247.7
49389,13,10,1,1993,6,4940959.3
56931,60,91,7,1994,5,5704458.4
66503,73,13,2,1990,1,6655758
88112,77,68,3,2021,6,8813820.1
43587,83,26,9,2005,3,4360172.5
86152,44,48,3,1992,1,8619787.2
81573,98,57,1,1992,10,8163076.2
72599,43,23,3,2007,0,7262443.7
43876,42,43,7,1993,3,4388329.3
10040,100,98,3,1994,8,1010790.4
40177,38,12,6,1991,10,4019219.1
21703,86,90,4,2019,6,2183649.9
57236,87,96,4,2020,1,5730262
17863,1,33,8,2009,5,1795013.9
85272,89,34,9,2005,3,8531221.5
91931,38,42,8,2016,4,9197803.6
29411,26,53,9,2017,1,2948395.7
37163,4,22,5,2014,1,3718311.4
26440,41,58,7,2016,5,2651410.6
9868,89,53,1,2003,3,992632.3
55250,31,3,3,1995,4,5534691.5
1121,9,80,1,1990,8,126775
26528,31,49,5,2012,2,2660108.2
18362,100,33,4,2019,6,1842236.9
40581,99,82,7,2008,10,4068225.8
89084,34,9,5,2010,1,8911966
90643,77,55,7,2012,1,9074993.2
70868,70,39,8,2005,1,7096273.5
17252,90,23,9,2000,10,1726850
45647,17,100,4,2019,6,4580938.9
64654,34,33,5,1992,3,6471114.2
87668,58,56,7,2017,6,8769343.7
97688,60,25,9,1990,0,9775672
5468,75,78,7,2002,9,553320.2
63509,72,53,1,2006,0,6356517.6
98262,60,14,9,2001,0,9827936.1
67735,36,24,5,2020,2,6777979
19728,97,85,8,2018,2,1977828.8
39191,71,21,9,2011,10,3921295.1
34585,34,99,2,2018,6,3471454.8
56666,13,63,9,2000,9,5671002
4920,96,67,9,1993,2,498937.3
23043,69,55,10,2007,10,2309235.7
86042,64,7,3,2010,8,8610684
84978,63,65,10,1990,9,8508647
66940,95,16,7,2016,7,6700142.6
69592,68,10,8,2000,7,6964235
46558,52,28,5,2009,10,4663394.9
30925,18,83,4,2016,3,3104280.6
39975,97,72,8,2016,8,4005185.6
8808,9,15,9,2014,7,887645.4
7131,88,20,10,2005,4,719772.5
49063,35,81,5,1991,7,4909260.1
79093,89,63,9,2014,9,7915505.4
95157,76,86,2,2002,6,9527400.2
43412,3,68,5,2010,3,4352882
23127,72,98,4,1995,8,2327821.5
63397,52,17,8,2003,3,6344621.3
6078,67,22,6,2004,0,614702.4
70367,63,19,1,2015,0,7043100.5
31471,3,34,3,2020,5,3149214
84503,53,10,6,2004,4,8455991.4
25661,18,10,6,2004,2,2567320.4
65823,2,40,3,1999,10,6587187.9
40351,20,21,7,2006,5,4037323.6
65816,36,56,6,1999,6,6590874.9
9897,83,55,7,1997,3,997040.7
74556,36,30,5,2021,0,7461430.1
77324,66,96,1,2000,0,7746689
19054,27,64,10,2017,3,1915949.7
19467,61,69,10,1995,2,1953949.5
23917,57,92,2,1992,6,2396597.2
27581,56,54,2,2008,9,2763880.8
7021,94,18,9,1998,1,707889.8
86898,10,54,5,2007,5,8700597.7
35752,37,88,9,2004,5,3584645.4
80254,5,84,1,2004,4,8032718.4
43729,50,78,4,1990,3,4386441
14296,27,21,2,1991,10,1438655.1
60263,14,29,5,2002,6,6027298.2
56348,39,64,6,1993,4,5645570.3
20462,4,27,3,1999,9,2051424.9
